model,base model,probability calibration,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Random forest,Random forest,uncalibrated,0.16071641181164925,0.5005145023835925,0.36912693767334526,0.061930783242258654,0.3071961544310866,0.3071961544310866
Choquistic 1-additive,Choquistic 1-additive,uncalibrated,0.2206105505578766,0.6363003913710632,0.45999782341656115,0.061930783242258654,0.3980670401743025,0.3980670401743025
Choquistic 2-additive,Choquistic 2-additive,uncalibrated,0.22243701740991986,0.6479109436633953,0.45191035630263,0.061930783242258654,0.38997957306037134,0.38997957306037134
Random forest [isotonic],Random forest,isotonic,0.05767303278870237,0.25528466864766713,0.062010538400344,0.061930783242258654,7.975515808534422e-05,7.975515808534422e-05
Logistic [sigmoid],Logistic,sigmoid,0.06412286273451474,0.25323036200796206,0.10855198162234983,0.061930783242258654,0.046621198380091176,0.046621198380091176
Logistic oriented [sigmoid],Logistic oriented,sigmoid,0.06412286273451474,0.25323036200796206,0.10855198162234983,0.061930783242258654,0.046621198380091176,0.046621198380091176
Penalized logistic [sigmoid],Penalized logistic,sigmoid,0.0649312819144493,0.2544693002536177,0.10929441593359772,0.061930783242258654,0.047363632691339065,0.047363632691339065
RBF SVM [isotonic],RBF SVM,isotonic,0.05810914253858846,0.41487352851375064,0.05753865583156457,0.061930783242258654,-0.0043921274106940855,0.0043921274106940855
MLP,MLP,uncalibrated,0.09972611152290274,0.35951296230494256,0.23369859326687462,0.061930783242258654,0.17176781002461597,0.17176781002461597
Choquistic 1-additive [isotonic],Choquistic 1-additive,isotonic,0.05879606557860084,0.4061815946082523,0.04589810518924006,0.061930783242258654,-0.01603267805301859,0.01603267805301859
Choquistic 2-additive [isotonic],Choquistic 2-additive,isotonic,0.05886687376279856,0.2907980122176095,0.0482656774392188,0.061930783242258654,-0.013665105803039854,0.013665105803039854
RBF SVM,RBF SVM,uncalibrated,0.07608646424574,0.2866240118338644,0.15033287423987846,0.061930783242258654,0.08840209099761981,0.08840209099761981
Penalized logistic [isotonic],Penalized logistic,isotonic,0.09503470501179691,1.134260262480726,0.13361998839671924,0.061930783242258654,0.07168920515446059,0.07168920515446059
Gradient boosting,Gradient boosting,uncalibrated,0.07499388670771785,0.3402234120704343,0.08081532086081329,0.061930783242258654,0.018884537618554638,0.018884537618554638
Choquistic 2-additive [sigmoid],Choquistic 2-additive,sigmoid,0.05838500917315808,0.2349133062480522,0.05017997284694202,0.061930783242258654,-0.011750810395316634,0.011750810395316634
Random forest [sigmoid],Random forest,sigmoid,0.05822086523139091,0.23155526921113226,0.061321634336501105,0.061930783242258654,-0.0006091489057575492,0.0006091489057575492
MLP [isotonic],MLP,isotonic,0.05924653186925735,0.37025297286564884,0.05052430381967295,0.061930783242258654,-0.011406479422585707,0.011406479422585707
Explicit interactions,Explicit interactions,uncalibrated,0.2768084778696488,1.127503804602964,0.40833845853389444,0.061930783242258654,0.3464076752916358,0.3464076752916358
Logistic oriented [isotonic],Logistic oriented,isotonic,0.0926490347101668,1.1426464991982364,0.1315732812346425,0.061930783242258654,0.06964249799238384,0.06964249799238384
Logistic [isotonic],Logistic,isotonic,0.0926490347101668,1.1426464991982364,0.1315732812346425,0.061930783242258654,0.06964249799238384,0.06964249799238384
Penalized logistic,Penalized logistic,uncalibrated,0.49874552940556716,1.8270516304107653,0.6727469543152997,0.061930783242258654,0.6108161710730411,0.6108161710730411
Gradient boosting [isotonic],Gradient boosting,isotonic,0.05991585784889901,0.28356000547241017,0.069985564513375,0.061930783242258654,0.008054781271116342,0.008054781271116342
Rolling prior probability,Rolling prior probability,uncalibrated,0.05865025629009845,0.23788778669354294,0.05920318826767988,0.061930783242258654,-0.0027275949745787717,0.0027275949745787717
Choquistic 1-additive [sigmoid],Choquistic 1-additive,sigmoid,0.05849897896597457,0.23566287255935994,0.05615874821537054,0.061930783242258654,-0.0057720350268881115,0.0057720350268881115
Logistic,Logistic,uncalibrated,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435
Logistic oriented,Logistic oriented,uncalibrated,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435
Explicit interactions [sigmoid],Explicit interactions,sigmoid,0.058780402724918225,0.23813776146434348,0.05980033635982712,0.061930783242258654,-0.0021304468824315317,0.0021304468824315317
RBF SVM [sigmoid],RBF SVM,sigmoid,0.058977952913239734,0.24174136121024575,0.05303323395947479,0.061930783242258654,-0.008897549282783863,0.008897549282783863
Explicit interactions [isotonic],Explicit interactions,isotonic,0.05936376758100678,0.3814469289598809,0.054073851446059584,0.061930783242258654,-0.00785693179619907,0.00785693179619907
Rolling prior probability [sigmoid],Rolling prior probability,sigmoid,0.05894260778755357,0.23939495404104613,0.06069359809042395,0.061930783242258654,-0.0012371851518347063,0.0012371851518347063
Rolling prior probability [isotonic],Rolling prior probability,isotonic,0.058945094243855946,0.23943589071445615,0.0605668384807842,0.061930783242258654,-0.0013639447614744518,0.0013639447614744518
MLP [sigmoid],MLP,sigmoid,0.059793691236564694,0.24216257579819844,0.0671158687300062,0.061930783242258654,0.00518508548774755,0.00518508548774755
Gradient boosting [sigmoid],Gradient boosting,sigmoid,0.05940981063785488,0.242775772942248,0.06346801916798266,0.061930783242258654,0.0015372359257240023,0.0015372359257240023
